Order ID,Date,Region,Category,Product,Units,Unit Price,Sales,Profit
1044,2025-01-05,West,Books,Fiction Novel,2,14,28.11,9.81
1036,2025-01-08,North,Clothing,Denim Jacket,7,55,384.45,156.57
1104,2025-01-08,South,Home & Garden,Table Lamp,1,25,25.13,7.8
1214,2025-01-10,East,Home & Garden,Garden Hose,4,20,78.73,23.36
1059,2025-01-15,North,Home & Garden,Garden Hose,10,20,209.25,83.05
1056,2025-01-20,West,Clothing,Denim Jacket,8,55,433.38,123.9
1053,2025-01-21,East,Clothing,Denim Jacket,11,55,580.97,170.79
1208,2025-01-21,South,Sports,Cycling Helmet,9,40,360.82,150.91
1206,2025-01-22,West,Books,Cookbook,6,22,133.39,46.65
1050,2025-01-23,North,Home & Garden,Garden Hose,11,20,230.56,96.3
1069,2025-01-24,South,Sports,Yoga Mat,8,22,174.49,56.54
1149,2025-01-26,West,Home & Garden,Garden Hose,10,20,206.04,83.69
1085,2025-01-27,East,Clothing,T-Shirt,11,15,157.41,69.86
1012,2025-01-29,South,Electronics,Laptop Stand,7,30,205.12,83.65
1039,2025-01-30,North,Home & Garden,Table Lamp,1,25,25.21,8.81
1078,2025-02-01,South,Sports,Cycling Helmet,10,40,417.84,186.4
1164,2025-02-01,West,Home & Garden,Garden Hose,2,20,41.8,11.92
1207,2025-02-01,West,Electronics,Laptop Stand,12,30,345.04,110.68
1195,2025-02-09,East,Books,Children's Book,10,10,99.04,31.89
1008,2025-02-10,South,Electronics,Bluetooth Speaker,5,60,298.6,84.56
1189,2025-02-11,East,Sports,Cycling Helmet,8,40,323.43,118.75
1179,2025-02-13,North,Sports,Yoga Mat,12,22,270.3,77.75
1165,2025-02-16,South,Books,Fiction Novel,1,14,14.4,5.78
1005,2025-02-17,West,Electronics,Laptop Stand,6,30,181.87,52.48
1141,2025-02-21,West,Clothing,Running Shoes,1,70,66.82,19.43
1071,2025-02-24,West,Clothing,Denim Jacket,12,55,661.19,290.89
1092,2025-02-24,West,Home & Garden,Plant Pot,12,12,139.0,57.65
1060,2025-02-25,West,Home & Garden,Throw Pillow,7,18,127.34,44.28
1171,2025-02-25,West,Books,Cookbook,10,22,209.95,61.59
1088,2025-02-28,South,Home & Garden,Table Lamp,10,25,238.14,92.31
1128,2025-02-28,West,Electronics,Smart Watch,8,120,1001.53,392.23
1105,2025-03-06,West,Electronics,Wireless Earbuds,10,45,440.3,155.98
1166,2025-03-06,South,Electronics,Smart Watch,10,120,1165.91,321.86
1168,2025-03-08,East,Clothing,T-Shirt,11,15,171.05,72.46
1045,2025-03-09,East,Electronics,Smart Watch,6,120,704.52,255.29
1014,2025-03-15,East,Clothing,Denim Jacket,12,55,664.05,263.93
1137,2025-03-15,West,Clothing,T-Shirt,8,15,123.38,48.98
1174,2025-03-17,North,Clothing,Running Shoes,10,70,709.32,241.4
1052,2025-03-18,North,Home & Garden,Garden Hose,7,20,134.78,52.34
1077,2025-03-20,South,Electronics,Bluetooth Speaker,7,60,412.9,147.33
1048,2025-03-21,East,Home & Garden,Garden Hose,12,20,236.23,73.82
1112,2025-03-22,North,Sports,Cycling Helmet,12,40,484.5,189.8
1009,2025-03-25,East,Home & Garden,Garden Hose,11,20,214.87,56.44
1025,2025-03-26,East,Books,Children's Book,4,10,41.72,12.47
1199,2025-03-28,North,Books,Fiction Novel,9,14,126.13,33.91
1150,2025-04-08,East,Clothing,T-Shirt,11,15,167.41,64.99
1215,2025-04-09,South,Clothing,Denim Jacket,2,55,107.75,31.5
1070,2025-04-10,West,Sports,Cycling Helmet,4,40,154.36,48.23
1192,2025-04-15,East,Clothing,Denim Jacket,5,55,269.21,114.68
1111,2025-04-17,South,Home & Garden,Table Lamp,3,25,73.05,24.81
1096,2025-04-19,East,Home & Garden,Throw Pillow,5,18,93.42,28.94
1190,2025-04-21,North,Home & Garden,Plant Pot,2,12,23.48,7.38
1003,2025-04-23,West,Books,Self-Help Guide,1,16,16.41,6.86
1099,2025-04-24,West,Clothing,Running Shoes,11,70,776.28,275.85
1057,2025-04-27,South,Electronics,Smart Watch,7,120,825.57,228.79
1029,2025-04-28,North,Electronics,Laptop Stand,2,30,60.08,23.69
